fid             , centroid_lat         , centroid_lon      , phaq, phkc, area    , county                                                                         , county_iso
ken_soil_ph.3007, -3.2989500117248585  , 38.66406523225535 ,  6.8,  5.6, 0.002669, Taita Taveta                                                                   , KE-39
ken_soil_ph.3008, -3.3070346697546977  , 38.58825865654845 ,  8.0,  6.9, 0.002792, Taita Taveta                                                                   , KE-39
ken_soil_ph.3009, -3.3810483206295676  , 38.364476751066086,  5.3,  4.3, 0.019069, Taita Taveta                                                                   , KE-39
ken_soil_ph.3010, -3.333954236190316   , 38.66452844426105 ,  5.7,  4.4, 0.008011, Taita Taveta                                                                   , KE-39
ken_soil_ph.3011, -3.3117934387598686  , 39.247611733790215,  7.5,  6.7, 0.0013  , Kilifi                                                                         , KE-14
ken_soil_ph.3013, -3.3856784309143078  , 38.33473568166055 ,  6.3,  4.9, 0.008855, Taita Taveta                                                                   , KE-39
ken_soil_ph.3014, -3.3508738561048736  , 38.4376875002739  ,  6.3,  4.9, 0.001564, Taita Taveta                                                                   , KE-39
ken_soil_ph.3015, -3.3375765175694716  , 39.48967689213847 ,  7.9,  7.2, 0.000763, Kilifi                                                                         , KE-14
ken_soil_ph.3018, -3.3752864007538768  , 39.95093299261879 ,  5.8,  5.3, 0.001479, Kilifi                                                                         , KE-14
ken_soil_ph.3019, -3.3847981492890815  , 38.97600865218434 ,  5.6,  4.8, 0.003506, Taita Taveta                                                                   , KE-39
ken_soil_ph.3020, -3.389069904919036   , 38.705729950182686,  8.3,  7.2, 0.006492, Taita Taveta                                                                   , KE-39
ken_soil_ph.3021, -3.371069293724795   , 39.73622517904442 ,  5.7,  4.8, 0.000599, Kilifi                                                                         , KE-14
ken_soil_ph.3022, -3.3982243401896386  , 39.427580121300835,  5.9,  5.0, 0.001538, Kilifi                                                                         , KE-14
ken_soil_ph.3023, -3.3977957278134823  , 38.855185525208924,  7.5,  6.7, 0.011289, Taita Taveta                                                                   , KE-39
ken_soil_ph.3024, -3.387863141408423   , 37.96069295011288 ,  6.4,  5.3, 0.001116, Taita Taveta                                                                   , KE-39
ken_soil_ph.3025, -3.3824631102754865  , 39.982883939475606,  5.8,  5.3, 0.000797, Kilifi                                                                         , KE-14
ken_soil_ph.3027, -3.460570128299134   , 39.29483294216354 ,  7.9,  7.2, 0.010405, Kilifi                                                                         , KE-14
ken_soil_ph.3029, -3.4099576673573555  , 39.069632133189565,  6.1,  5.2, 0.002128, Kilifi                                                                         , KE-14
ken_soil_ph.3032, -3.422774380542053   , 38.770984467463265,  5.7,  4.4, 0.009295, Taita Taveta                                                                   , KE-39
ken_soil_ph.3033, -3.399055858580876   , 38.479415650443144,  5.3,  4.3, 0.00069 , Taita Taveta                                                                   , KE-39
ken_soil_ph.3034, -3.3988429257316137  , 39.02611242268687 ,  5.7,  4.4, 0.000789, Kilifi                                                                         , KE-14
ken_soil_ph.3035, -3.4809760513926937  , 39.74377525789356 ,  5.9,  5.3, 0.003101, Kilifi                                                                         , KE-14
ken_soil_ph.3036, -3.4095750481929863  , 38.31923477341114 ,  5.1,  4.3, 0.002356, Taita Taveta                                                                   , KE-39
ken_soil_ph.3037, -3.4203918832722318  , 37.646219887454805,  7.0,  5.8, 0.001233, Kilimanjaro                                                                    , TZ-09
ken_soil_ph.3040, -3.4107717230207473  , 39.61593537248776 ,  6.6,  4.9, 0.000832, Kilifi                                                                         , KE-14
ken_soil_ph.3042, -3.430081164465673   , 38.99816026377499 ,  5.7,  4.4, 0.002531, Taita Taveta                                                                   , KE-39
ken_soil_ph.3046, -3.4411837407529178  , 37.60523664515397 ,  6.4,  5.6, 0.001566, Kilimanjaro                                                                    , TZ-09
ken_soil_ph.3047, -3.4643666413625747  , 37.6987555681771  ,  7.5,  6.3, 0.005722, Kilimanjaro                                                                    , TZ-09
ken_soil_ph.3048, -3.446736833533195   , 39.71875031129887 ,  5.7,  4.8, 0.002015, Kilifi                                                                         , KE-14
ken_soil_ph.3052, -3.497109816024309   , 38.58316525277279 ,  5.3,  4.3, 0.004956, Taita Taveta                                                                   , KE-39
ken_soil_ph.3055, -3.4815140231636708  , 39.44626803734544 ,  5.9,  5.0, 0.001951, Kilifi                                                                         , KE-14
ken_soil_ph.3056, -3.497226932577028   , 38.75644890831523 ,  6.8,  5.6, 0.01471 , Taita Taveta                                                                   , KE-39
ken_soil_ph.3058, -3.4546557558727877  , 38.203631940006154,  6.4,  5.3, 0.000398, Taita Taveta                                                                   , KE-39
