name                                , lat         , lon         , products     , prices
Aimad Enterprises                   ,0.3609681,34.399798," MOP, DAP     "," 52,58"
Lwero A Agrovet                     ,0.4606349,34.1699016," MOP, DAP     "," 52,58"
Ochieng shop                        ,0.4426931,34.1474107," MOP, DAP     "," 52,58"
Emmanuel hardware                   ,0.4404777,34.1483375," NPK, CAN, DAP"," 60,55,70"
Oluoch agrovet                      ,0.2563488,34.0432591," NPK, CAN, DAP"," 60,55,70"
Jane Auma                           ,0.3382654,34.1374982," NPK, CAN, DAP"," 60,55,70"
Felester Ouma Maiga                 ,0.3386244,34.1375439," NPK, CAN, DAP"," 60,55,70"
Feo                                 ,0.5446069,34.1888349," NPK, CAN, DAP"," 60,55,70"
Moja Farm Input                     ,0.2854859,34.148006," NPK, CAN, DAP"," 60,55,70"
MAGHARIBI HARDWARE                  ,0.34172012,34.26054709," NPK, CAN, DAP"," 60,55,70"
WEDINYIE HARDWARE                   ,0.340681117,34.25951242," NPK, CAN, DAP"," 60,55,70"
Toster Agrovet                      ,0.4483508,34.2507424," NPK, CAN, DAP"," 60,55,70"
Smart Farm                          ,0.4485552,34.2523616," NPK, CAN, DAP"," 60,55,70"
Farmland Agrovet                    ,0.4487094,34.2541524," NPK, CAN, DAP"," 60,55,70"
Dowel hardware                      ,0.4309987,34.1488371," NPK, CAN, DAP"," 60,55,70"
Arise and shine hardware            ,0.4312845,34.1488539," NPK, CAN, DAP"," 60,55,70"
Mkulima Agrovet                     ,0.1244941,34.0550852," NPK, CAN, DAP"," 60,55,70"
Agape Agrovet                       ,0.4486835,34.254252," NPK, CAN, DAP"," 60,55,70"
Riziki Agrovet                      ,0.4502267,34.2511874," NPK, CAN, DAP"," 60,55,70"
Shamma Agrovet                      ,0.1246533,34.0540767," NPK, CAN, DAP"," 60,55,70"
MKULIMA AGROVET AND FARM INPUT      ,0.0827633,34.04585," NPK, CAN, DAP"," 60,55,70"
Sinani Agrovet                      ,0.4484932,34.2510003," NPK, CAN, DAP"," 60,55,70"
Deleton Agrovet                     ,0.457662,34.2379913," NPK, CAN, DAP"," 60,55,70"
SARAFINA Agrovet                    ,0.141474647,34.03246142," NPK, CAN, DAP"," 60,55,70"
Samia Farmers                       ,0.2672591,34.1276014," NPK, CAN, DAP"," 60,55,70"
Bina Farmers Centre                 ,0.4581606,34.1185928," NPK, CAN, DAP"," 60,55,70"
SARAFINA AGROVET                    ,0.1395503,34.0228906," NPK, CAN, DAP"," 60,55,70"
